# M_both paired deltas (prompt 2 - prompt 1)
model,country,d_IM,d_H_norm,d_JSD,d_W1,dIM_p1,dIM_p2,ratio_p1,ratio_p2,overshoot_flag
gpt-4o,Argentina,-0.06607929515418509,0.1897752467721473,-0.10042878805129021,-0.21120387753287984,0.19367588932806323,0.12759659417387814,0.49401251114919553,0.7197513466617352,FALSE
gpt-oss-120B,Argentina,-0.06058230575380419,0.07458420570249913,-0.0460160803266611,-0.08094115824883169,0.1925841862712947,0.1320018805174905,0.519739664692563,0.6084580409259218,FALSE
gpt-oss-20B,Argentina,-0.058737151248164476,-0.040089181995942746,0.011261186374601911,0.1177952876405296,0.19367588932806323,0.13493873807989876,0.5883230679374659,0.5406367367939746,FALSE
gpt-4o,United States,-0.17199999999999993,0.19587763725262924,-0.06037664770809617,0.03917365964120986,0.18571428571428572,0.01371428571428579,0.6008529169019359,0.8427369077579245,FALSE
gpt-oss-120B,United States,-0.163391311808063,0.14760735615617337,-0.027030236853515882,-0.015501343400897538,0.181638198757764,0.018246886949701002,0.515370912430392,0.6976472400782908,FALSE
gpt-oss-20B,United States,-0.15382449046581725,0.20964591938443533,-0.05721807979234633,-0.10041282768963872,0.17756211180124226,0.023737621335425008,0.420833218368694,0.6797192880529934,FALSE
gpt-4o,Uruguay,-0.25033288948069243,0.26264985551281844,-0.1949079383375973,-0.45173497718091493,0.33842239185750633,0.0880895023768139,0.5698840476513103,0.8707854782343258,FALSE
gpt-oss-120B,Uruguay,-0.2584675553196766,0.24426290913444526,-0.1789905933666538,-0.35823844507583724,0.337236152237103,0.07876859691742644,0.5791268802168228,0.8589635420471456,FALSE
gpt-oss-20B,Uruguay,-0.24500665778961384,0.2496846100910043,-0.16205871740284036,-0.1833273340700292,0.33842239185750633,0.0934157340678925,0.5246474301468576,0.8106953939816557,FALSE

# Paired tests (Wilcoxon signed-rank / sign test)
metric,scope,wilcoxon_p,rank_biserial,n_favor,n_against,sign_p
H3a: D(IM) < 0,"pooled (1 value/model, n=3)",0.12500000000000003,-1,3,0,0.12500000000000003
H3a: D(IM) < 0,Argentina (n=3),0.12500000000000003,-1,3,0,0.12500000000000003
H3a: D(IM) < 0,United States (n=3),0.12500000000000003,-1,3,0,0.12500000000000003
H3a: D(IM) < 0,Uruguay (n=3),0.12500000000000003,-1,3,0,0.12500000000000003
H3b: D(H_norm) > 0,"pooled (1 value/model, n=3)",0.12500000000000003,1,3,0,0.12500000000000003
H3b: D(H_norm) > 0,Argentina (n=3),0.25000000000000006,0.6666666666666666,2,1,0.5
H3b: D(H_norm) > 0,United States (n=3),0.12500000000000003,1,3,0,0.12500000000000003
H3b: D(H_norm) > 0,Uruguay (n=3),0.12500000000000003,1,3,0,0.12500000000000003
H3c: D(JSD) < 0,"pooled (1 value/model, n=3)",0.12500000000000003,-1,3,0,0.12500000000000003
H3c: D(JSD) < 0,Argentina (n=3),0.25000000000000006,-0.6666666666666666,2,1,0.5
H3c: D(JSD) < 0,United States (n=3),0.12500000000000003,-1,3,0,0.12500000000000003
H3c: D(JSD) < 0,Uruguay (n=3),0.12500000000000003,-1,3,0,0.12500000000000003
D(W1) < 0,"pooled (1 value/model, n=3)",0.12500000000000003,-1,3,0,0.12500000000000003
D(W1) < 0,Argentina (n=3),0.3750000000000001,-0.3333333333333333,2,1,0.5
D(W1) < 0,United States (n=3),0.3750000000000001,-0.3333333333333333,2,1,0.5
D(W1) < 0,Uruguay (n=3),0.12500000000000003,-1,3,0,0.12500000000000003
